Cálculo1,num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,positiva_alcohol
1,2023S028803,06/09/2023,23:56:00,CALL. ANASTASIO AROCA / CALL. CLARA DEL REY,3,5,CHAMARTÍN,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S017101,23/04/2023,23:53:00,CALL. SANTA CATALINA / CRA. SAN JERONIMO,1,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S027740,21/08/2023,23:45:00,CALL. SEGOVIA / RONDA. SEGOVIA,41,2,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S026518,30/07/2023,23:40:00,PLAZA. CIBELES / CALL. ALCALA,2,1,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S027855,23/08/2023,23:30:00,"CALL. VALMOJADO, 293",293,10,LATINA,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,0,Desconocida,Negativo
1,2023S025531,16/07/2023,23:30:00,PASEO. ERMITA DEL SANTO / PASEO. QUINCE DE MAYO,80,11,CARABANCHEL,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S008681,10/03/2023,23:20:00,AVDA. CIUDAD DE BARCELONA / CALL. ARREGUI Y ARUEJ,226,3,RETIRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S029611,16/09/2023,23:20:00,"AVDA. ALBERTO ALCOCER, 33",33,5,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S027418,14/08/2023,23:20:00,CALL. CEBREROS / CALL. HIGUERAS,1,10,LATINA,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S001649,20/01/2023,23:15:00,"AVDA. CIUDAD DE BARCELONA, 6",6,3,RETIRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
